EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 10-05-2011
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

01-05 STAID       : Station identifier
07-46 STATIONNAME : Station Name
48-87 COUNTRYNAME : Country Name
89-97 LAT         : Latitude in degrees:minutes:seconds (+:North, -:South)
99-109 LON        : Longitude in degrees:minutes:seconds (+:East, -:West)
111-115 HGT       : Station elevation in meters 

STAID,STATIONNAME                             ,COUNTRYNAME                             ,LAT      ,LON       ,HGT
122  ,MALIN HEAD                              ,IRELAND                                 ,+55:22:18,-007:20:24,  21
123  ,VALENTIA OBSERVATORY                    ,IRELAND                                 ,+51:56:22,-010:13:19,   9
124  ,TEL AVIV SEDE DOV                       ,ISRAEL                                  ,+32:06:00,+034:46:59,   4
126  ,TEL AVIV SEDE DOV-1                     ,ISRAEL                                  ,+32:06:00,+034:46:00,   4
128  ,TEL AVIV READING                        ,ISRAEL                                  ,+32:06:00,+034:46:59,   3
130  ,HAR KENAAN                              ,ISRAEL                                  ,+32:58:00,+035:30:00, 934
132  ,JERUSALEM CENTRAL                       ,ISRAEL                                  ,+31:46:00,+035:13:00, 815
139  ,NAHAL HAZERIM                           ,ISRAEL                                  ,+31:16:00,+034:43:00, 195
142  ,ELAT                                    ,ISRAEL                                  ,+29:33:00,+034:57:00,  12
143  ,ELAT-1                                  ,ISRAEL                                  ,+29:33:00,+034:57:00,  20
159  ,RETZ/WINDMUEHLE                         ,AUSTRIA                                 ,+48:45:00,+015:55:48, 320
160  ,DEN HELDER                              ,NETHERLANDS                             ,+52:58:00,+004:45:00,   4
161  ,DE KOOY                                 ,NETHERLANDS                             ,+52:55:36,+004:46:51,   1
162  ,DE BILT                                 ,NETHERLANDS                             ,+52:05:56,+005:10:46,   2
163  ,GRONINGEN                               ,NETHERLANDS                             ,+53:13:00,+006:33:00,   2
164  ,EELDE                                   ,NETHERLANDS                             ,+53:07:24,+006:35:04,   5
165  ,WEST SOUBURG                            ,NETHERLANDS                             ,+51:27:00,+003:36:00,   8
166  ,VLISSINGEN                              ,NETHERLANDS                             ,+51:26:29,+003:35:44,   8
167  ,MAASTRICHT-1                            ,NETHERLANDS                             ,+50:51:00,+005:40:59,  49
168  ,MAASTRICHT                              ,NETHERLANDS                             ,+50:54:19,+005:45:42, 114
169  ,BOLOGNA                                 ,ITALY                                   ,+44:30:00,+011:20:45,  53
173  ,MILAN                                   ,ITALY                                   ,+45:28:18,+009:11:21, 150
174  ,BRINDISI                                ,ITALY                                   ,+40:37:59,+017:55:59,  10
175  ,CAGLIARI                                ,ITALY                                   ,+39:13:59,+009:03:00,  21
176  ,ROMA CIAMPINO                           ,ITALY                                   ,+41:46:59,+012:34:59, 105
177  ,VERONA VILLAFRANCA                      ,ITALY                                   ,+45:22:59,+010:52:00,  68
179  ,BJOERNOEYA                              ,NORWAY                                  ,+74:31:00,+019:01:00,  16
185  ,SUOLOVUOPMI                             ,NORWAY                                  ,+69:35:17,+023:31:54, 377
186  ,SVALBARD AIRPORT                        ,NORWAY                                  ,+78:15:00,+015:28:00,  28
187  ,HOPEN                                   ,NORWAY                                  ,+76:30:00,+025:04:00,   6
188  ,GLOMFJORD                               ,NORWAY                                  ,+66:49:00,+013:58:59,  39
189  ,JAN MAYEN                               ,NORWAY                                  ,+70:55:59,-008:40:00,  10
190  ,KARASJOK                                ,NORWAY                                  ,+69:28:00,+025:30:11, 129
191  ,KJOEREMSGRENDE                          ,NORWAY                                  ,+62:06:00,+009:03:00, 626
192  ,FAERDER FYR                             ,NORWAY                                  ,+59:01:36,+010:31:48,   6
193  ,OSLO BLINDERN                           ,NORWAY                                  ,+59:56:34,+010:43:14,  94
194  ,UTSIRA FYR                              ,NORWAY                                  ,+59:18:28,+004:52:41,  55
195  ,VARDOE                                  ,NORWAY                                  ,+70:22:01,+031:05:04,  14
196  ,NESBYEN-SKOGLUND                        ,NORWAY                                  ,+60:34:06,+009:07:18, 167
198  ,GULBENE                                 ,LATVIA                                  ,+57:07:59,+026:43:00, 141
199  ,LIEPAJA                                 ,LATVIA                                  ,+56:28:59,+021:01:00,   7
200  ,KAUNAS                                  ,LITHUANIA                               ,+54:52:59,+023:49:59,  77
201  ,KLAIPEDA                                ,LITHUANIA                               ,+55:43:59,+021:04:00,   6
202  ,VILNIUS                                 ,LITHUANIA                               ,+54:37:59,+025:06:00, 156
203  ,LUXEMBOURG AIRPORT                      ,LUXEMBOURG                              ,+49:37:48,+006:12:36, 376
204  ,BIALYSTOK                               ,POLAND                                  ,+53:06:00,+023:10:00, 148
205  ,HEL                                     ,POLAND                                  ,+54:36:00,+018:49:00,   1
206  ,POZNAN                                  ,POLAND                                  ,+52:25:00,+016:49:59,  88
207  ,RZESZOW JASIONKA                        ,POLAND                                  ,+50:07:00,+022:01:59, 212
208  ,SZCZECIN                                ,POLAND                                  ,+53:24:00,+014:37:00,   1
209  ,WARSZAWA                                ,POLAND                                  ,+52:09:00,+020:58:59, 107
210  ,WROCLAW                                 ,POLAND                                  ,+51:10:00,+016:52:59, 120
211  ,BEJA                                    ,PORTUGAL                                ,+38:01:00,-007:52:00, 246
212  ,BRAGANCA                                ,PORTUGAL                                ,+41:48:00,-006:43:59, 690
213  ,COIMBRA                                 ,PORTUGAL                                ,+40:12:00,-008:25:00, 141
214  ,LISBOA GEOFISICA                        ,PORTUGAL                                ,+38:43:00,-009:09:00,  77
215  ,PORTO                                   ,PORTUGAL                                ,+41:07:59,-008:36:00,  93
216  ,TAVIRA                                  ,PORTUGAL                                ,+37:07:00,-007:39:00,  25
217  ,ARAD                                    ,ROMANIA                                 ,+46:07:59,+021:21:00, 117
