params.sigma,params.delta,params.rho,metrics.RMSE,metrics.Mean_rules,metrics.time
0.1,200,10,0.02383462359455,3.653219233905,6.22742283344269
0.2,500,1,0.0238425782543,7.877343113285,7.76008021831512
0.2,200,10,0.0238545003175,4.301140994295,6.87205946445465
0.1,100,10,0.02385582071,2.585574572125,5.92068099975586
0.1,20,1,0.0238654006348,1.79380603097,6.65866017341614
0.2,100,10,0.02389153667135,3.283618581905,6.71800768375397
0.2,600,10,0.02391521115265,9.22208638957,8.80755543708801
0.1,700,10,0.0239240406492,8.75020374898,8.36372673511505
0.05,300,0.1,0.0239294182203,4.08272208639,5.78842163085938
0.1,100,0.1,0.0239295250799,2.585574572125,5.60083866119385
0.2,1100,10,0.02392990874495,14.0350448248,11.3893975019455
0.05,100,10,0.02396988185255,2.218011409945,5.55755460262299
0.2,1200,1,0.02397170735985,15.1719641402,11.1135692596436
0.2,1000,10,0.0240095555301,13.0183374083,10.9708853960037
0.2,1300,1,0.02401323843975,15.45802770985,11.1969902515411
0.05,700,1,0.02409690148465,7.5065199674,6.80776703357697
0.1,1000,0.1,0.02411939115425,11.2379788101,8.96605277061462
0.2,1100,1,0.0241313152316,14.0350448248,10.70179271698
0.05,1000,0.1,0.02417681453125,9.60554197229,7.84599924087524
0.2,20,1,0.0242156103474,2.70660146699,8.79566216468811
0.05,400,0.1,0.02421680743665,5.11858190709,5.91875183582306
0.05,20,1,0.0242250289011,1.51018744906,5.95115303993225
0.2,1200,10,0.02423849451295,15.1719641402,12.0074011087418
0.1,700,1,0.0242733274361,8.75020374898,7.6577113866806
0.2,1300,10,0.0242972374578,15.45802770985,11.9502246379852
0.05,600,1,0.02435394827925,7.00855745721,6.53572726249695
0.1,400,0.1,0.02438399002055,5.95517522412,6.50553488731384
0.05,700,0.1,0.0244115751097,7.5065199674,6.87195491790772
0.2,300,0.1,0.0244452301138,5.5912795436,6.76054263114929
0.1,1100,0.1,0.02449420936345,12.06030969845,9.32877063751221
0.1,800,0.1,0.0245508911029,9.442135289325,8.11923456192017
0.05,100,0,0.0245615937311,2.218011409945,6.29470634460449
0.2,200,0,0.02456317646915,4.301140994295,8.18107986450195
0.05,600,0.1,0.02456409490385,7.00855745721,6.56773912906647
0.1,100,0,0.02461416244685,2.585574572125,6.77476143836975
0.2,600,1,0.02464930165895,9.22208638957,8.32768273353577
0.2,900,0.1,0.02468996044915,11.73431132845,9.68872809410095
0.1,500,0.1,0.02471699431665,6.869600651995,6.90801334381104
0.2,800,0.1,0.02471984009415,11.08435207825,9.15229225158691
0,100,0,0.0247525040748,1.23308883456,5.00183200836182
0.2,1000,0.1,0.0247555713401,13.0183374083,10.1624132394791
0.1,1300,0.1,0.02478485679865,13.25183374085,9.84924817085266
0.1,1200,0.1,0.0247953672852,13.0089649552,9.73470270633697
0.05,500,0.1,0.0248222577243,5.98207008965,6.21599817276001
0.2,100,0,0.02486795078335,3.283618581905,8.02201509475708
0.2,400,0.1,0.02489159805545,6.86715566422,7.24001026153564
0.2,700,0.1,0.02512234078275,10.1915240424,8.69163906574249
0.05,200,0,0.0252122908859,3.06968215159,6.69814074039459
0.1,700,0.1,0.0252308731864,8.75020374898,7.76926994323731
0.1,200,0,0.0252404591831,3.653219233905,7.14644312858582
0.2,500,0.1,0.0252823758948,7.877343113285,7.68873977661133
0.2,1100,0.1,0.0253089346703,14.0350448248,10.6795109510422
0.2,600,0.1,0.0253573187919,9.22208638957,8.35399329662323
